"Product Name","Description","Brand","Category","Price","Old Price","Discount Percentage","HSN Code","GST Percent","Tax Type","Unit","Unit Value","Promotor ID","Promotor Commission Rate","Promotor Commission Type","Promotor Commission Amount","Quantity","Stock Status","Active Status","Low Stock Threshold","Min Order Quantity","Max Order Quantity","Weight","Weight Unit","SKU","Seller","Warehouse","Storage Type","Estimated Delivery Time","Delivery Charges","Free Delivery Threshold","Serviceable Pincodes","Image 1","Image 2","Image 3","Image 4","Image 5","Video"
"Daawat Rozana Gold Basmati Rice","Daawat Rozana Gold Basmati Rice is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 5kg.","Daawat","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Kohinoor Charminar Basmati Rice","Kohinoor Charminar Basmati Rice is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 1kg.","Kohinoor","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Fortune Everyday Basmati Rice","Fortune Everyday Basmati Rice is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 1kg.","Fortune","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Patanjali Sonamasoori Rice","Patanjali Sonamasoori Rice is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 5kg.","Patanjali","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"India Gate Mogra Rice","India Gate Mogra Rice is a kitchen staple for everyday Indian cooking, in the Rice range. Pack size: 5kg.","India Gate","Atta, Rice & Dal","","","0","","","inclusive","kg","5","","","","","","out-of-stock","Active","10","1","10","5","kg","","","","","","","","","","","","","",""
"Tata Sampann Toor Dal","Tata Sampann Toor Dal is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Chana Dal","Tata Sampann Chana Dal is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Moong Dal","Tata Sampann Moong Dal is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Masoor Dal","Tata Sampann Masoor Dal is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Urad Dal Gota","Tata Sampann Urad Dal Gota is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Rajma","Tata Sampann Rajma is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Kabuli Chana","Tata Sampann Kabuli Chana is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Organic Tattva Toor Dal","Organic Tattva Toor Dal is a kitchen staple for everyday Indian cooking, in the Dal & Pulses range. Pack size: 1kg.","Organic Tattva","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Besan","Tata Sampann Besan is a kitchen staple for everyday Indian cooking, in the Flour & Sooji range. Pack size: 1kg.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"MTR Rava Sooji","MTR Rava Sooji is a kitchen staple for everyday Indian cooking, in the Flour & Sooji range. Pack size: 1kg.","MTR","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Sampann Poha","Tata Sampann Poha is a kitchen staple for everyday Indian cooking, in the Flour & Sooji range. Pack size: 500g.","Tata Sampann","Atta, Rice & Dal","","","0","","","inclusive","g","500","","","","","","out-of-stock","Active","10","1","10","500","g","","","","","","","","","","","","","",""
"Patanjali Besan","Patanjali Besan is a kitchen staple for everyday Indian cooking, in the Flour & Sooji range. Pack size: 1kg.","Patanjali","Atta, Rice & Dal","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Fortune Sunlite Refined Sunflower Oil","Fortune Sunlite Refined Sunflower Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Fortune","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Saffola Gold Edible Oil","Saffola Gold Edible Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Saffola","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Fortune Soyabean Oil","Fortune Soyabean Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Fortune","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Dhara Mustard Oil","Dhara Mustard Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Dhara","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Fortune Kachi Ghani Mustard Oil","Fortune Kachi Ghani Mustard Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Fortune","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Patanjali Mustard Oil","Patanjali Mustard Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Patanjali","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Gemini Groundnut Oil","Gemini Groundnut Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Gemini","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Saffola Tasty Refined Oil","Saffola Tasty Refined Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Saffola","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Sundrop Superlite Advanced Oil","Sundrop Superlite Advanced Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Sundrop","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Parachute Coconut Oil","Parachute Coconut Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 500ml.","Parachute","Edible Oils & Ghee","","","0","","","inclusive","ml","500","","","","","","out-of-stock","Active","10","1","10","500","ml","","","","","","","","","","","","","",""
"Idhayam Gingelly Sesame Oil","Idhayam Gingelly Sesame Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 500ml.","Idhayam","Edible Oils & Ghee","","","0","","","inclusive","ml","500","","","","","","out-of-stock","Active","10","1","10","500","ml","","","","","","","","","","","","","",""
"Figaro Olive Oil","Figaro Olive Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 500ml.","Figaro","Edible Oils & Ghee","","","0","","","inclusive","ml","500","","","","","","out-of-stock","Active","10","1","10","500","ml","","","","","","","","","","","","","",""
"Borges Extra Virgin Olive Oil","Borges Extra Virgin Olive Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 500ml.","Borges","Edible Oils & Ghee","","","0","","","inclusive","ml","500","","","","","","out-of-stock","Active","10","1","10","500","ml","","","","","","","","","","","","","",""
"Fortune Rice Bran Health Oil","Fortune Rice Bran Health Oil is a kitchen essential for daily cooking and tempering, in the Cooking Oil range. Pack size: 1l.","Fortune","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Amul Cow Ghee","Amul Cow Ghee is a kitchen essential for daily cooking and tempering, in the Ghee range. Pack size: 1l.","Amul","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Patanjali Cow Ghee","Patanjali Cow Ghee is a kitchen essential for daily cooking and tempering, in the Ghee range. Pack size: 1l.","Patanjali","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Mother Dairy Pure Ghee","Mother Dairy Pure Ghee is a kitchen essential for daily cooking and tempering, in the Ghee range. Pack size: 1l.","Mother Dairy","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Aashirvaad Svasti Ghee","Aashirvaad Svasti Ghee is a kitchen essential for daily cooking and tempering, in the Ghee range. Pack size: 1l.","Aashirvaad","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Dabur Pure Cow Ghee","Dabur Pure Cow Ghee is a kitchen essential for daily cooking and tempering, in the Ghee range. Pack size: 1l.","Dabur","Edible Oils & Ghee","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Nandini Pure Ghee","Nandini Pure Ghee is a kitchen essential for daily cooking and tempering, in the Ghee range. Pack size: 500ml.","Nandini","Edible Oils & Ghee","","","0","","","inclusive","ml","500","","","","","","out-of-stock","Active","10","1","10","500","ml","","","","","","","","","","","","","",""
"MDH Deggi Mirch","MDH Deggi Mirch is a flavour essential for authentic Indian dishes, in the Spice Powder range. Pack size: 100g.","MDH","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"MDH Chana Masala","MDH Chana Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","MDH","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"MDH Pav Bhaji Masala","MDH Pav Bhaji Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","MDH","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"MDH Kitchen King Masala","MDH Kitchen King Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","MDH","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"MDH Meat Masala","MDH Meat Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","MDH","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"MDH Rajma Masala","MDH Rajma Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","MDH","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Everest Garam Masala","Everest Garam Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Everest","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Everest Kitchen King Masala","Everest Kitchen King Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Everest","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Everest Sabzi Masala","Everest Sabzi Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Everest","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Everest Chicken Masala","Everest Chicken Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Everest","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Everest Pav Bhaji Masala","Everest Pav Bhaji Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Everest","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Everest Tea Masala","Everest Tea Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 50g.","Everest","Masalas & Spices","","","0","","","inclusive","g","50","","","","","","out-of-stock","Active","10","1","10","50","g","","","","","","","","","","","","","",""
"Catch Turmeric Powder","Catch Turmeric Powder is a flavour essential for authentic Indian dishes, in the Spice Powder range. Pack size: 200g.","Catch","Masalas & Spices","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Catch Red Chilli Powder","Catch Red Chilli Powder is a flavour essential for authentic Indian dishes, in the Spice Powder range. Pack size: 200g.","Catch","Masalas & Spices","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Catch Coriander Powder","Catch Coriander Powder is a flavour essential for authentic Indian dishes, in the Spice Powder range. Pack size: 200g.","Catch","Masalas & Spices","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Catch Cumin Jeera Powder","Catch Cumin Jeera Powder is a flavour essential for authentic Indian dishes, in the Spice Powder range. Pack size: 100g.","Catch","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Catch Black Pepper Powder","Catch Black Pepper Powder is a flavour essential for authentic Indian dishes, in the Spice Powder range. Pack size: 100g.","Catch","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Catch Whole Cumin Seeds","Catch Whole Cumin Seeds is a flavour essential for authentic Indian dishes, in the Whole Spice range. Pack size: 200g.","Catch","Masalas & Spices","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Catch Hing Asafoetida","Catch Hing Asafoetida is a flavour essential for authentic Indian dishes, in the Whole Spice range. Pack size: 25g.","Catch","Masalas & Spices","","","0","","","inclusive","g","25","","","","","","out-of-stock","Active","10","1","10","25","g","","","","","","","","","","","","","",""
"Badshah Biryani Masala","Badshah Biryani Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Badshah","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Suhana Biryani Masala","Suhana Biryani Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Suhana","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Eastern Garam Masala","Eastern Garam Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","Eastern","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"National Garam Masala","National Garam Masala is a flavour essential for authentic Indian dishes, in the Blended Masala range. Pack size: 100g.","National","Masalas & Spices","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Tata Salt","Tata Salt is a flavour essential for authentic Indian dishes, in the Salt range. Pack size: 1kg.","Tata","Masalas & Spices","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Tata Salt Lite","Tata Salt Lite is a flavour essential for authentic Indian dishes, in the Salt range. Pack size: 1kg.","Tata","Masalas & Spices","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Aashirvaad Iodised Salt","Aashirvaad Iodised Salt is a flavour essential for authentic Indian dishes, in the Salt range. Pack size: 1kg.","Aashirvaad","Masalas & Spices","","","0","","","inclusive","kg","1","","","","","","out-of-stock","Active","10","1","10","1","kg","","","","","","","","","","","","","",""
"Amul Gold Full Cream Milk","Amul Gold Full Cream Milk is a fresh dairy & bakery essential for daily use, in the Milk range. Pack size: 1l.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Amul Taaza Toned Milk","Amul Taaza Toned Milk is a fresh dairy & bakery essential for daily use, in the Milk range. Pack size: 1l.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Mother Dairy Full Cream Milk","Mother Dairy Full Cream Milk is a fresh dairy & bakery essential for daily use, in the Milk range. Pack size: 1l.","Mother Dairy","Dairy, Bread & Eggs","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Nestle a+ Toned Milk","Nestle a+ Toned Milk is a fresh dairy & bakery essential for daily use, in the Milk range. Pack size: 1l.","Nestle","Dairy, Bread & Eggs","","","0","","","inclusive","l","1","","","","","","out-of-stock","Active","10","1","10","1","l","","","","","","","","","","","","","",""
"Amul Masti Curd","Amul Masti Curd is a fresh dairy & bakery essential for daily use, in the Curd range. Pack size: 400g.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","g","400","","","","","","out-of-stock","Active","10","1","10","400","g","","","","","","","","","","","","","",""
"Mother Dairy Curd","Mother Dairy Curd is a fresh dairy & bakery essential for daily use, in the Curd range. Pack size: 400g.","Mother Dairy","Dairy, Bread & Eggs","","","0","","","inclusive","g","400","","","","","","out-of-stock","Active","10","1","10","400","g","","","","","","","","","","","","","",""
"Epigamia Greek Yogurt","Epigamia Greek Yogurt is a fresh dairy & bakery essential for daily use, in the Curd range. Pack size: 90g.","Epigamia","Dairy, Bread & Eggs","","","0","","","inclusive","g","90","","","","","","out-of-stock","Active","10","1","10","90","g","","","","","","","","","","","","","",""
"Amul Butter","Amul Butter is a fresh dairy & bakery essential for daily use, in the Butter range. Pack size: 500g.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","g","500","","","","","","out-of-stock","Active","10","1","10","500","g","","","","","","","","","","","","","",""
"Amul Lite Butter","Amul Lite Butter is a fresh dairy & bakery essential for daily use, in the Butter range. Pack size: 100g.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","g","100","","","","","","out-of-stock","Active","10","1","10","100","g","","","","","","","","","","","","","",""
"Britannia Cheese Slices","Britannia Cheese Slices is a fresh dairy & bakery essential for daily use, in the Cheese range. Pack size: 200g.","Britannia","Dairy, Bread & Eggs","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Amul Cheese Block","Amul Cheese Block is a fresh dairy & bakery essential for daily use, in the Cheese range. Pack size: 200g.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Go Cheese Slices","Go Cheese Slices is a fresh dairy & bakery essential for daily use, in the Cheese range. Pack size: 200g.","Go","Dairy, Bread & Eggs","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Amul Paneer","Amul Paneer is a fresh dairy & bakery essential for daily use, in the Paneer range. Pack size: 200g.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Mother Dairy Paneer","Mother Dairy Paneer is a fresh dairy & bakery essential for daily use, in the Paneer range. Pack size: 200g.","Mother Dairy","Dairy, Bread & Eggs","","","0","","","inclusive","g","200","","","","","","out-of-stock","Active","10","1","10","200","g","","","","","","","","","","","","","",""
"Nestle Milkmaid Condensed Milk","Nestle Milkmaid Condensed Milk is a fresh dairy & bakery essential for daily use, in the Milk range. Pack size: 400g.","Nestle","Dairy, Bread & Eggs","","","0","","","inclusive","g","400","","","","","","out-of-stock","Active","10","1","10","400","g","","","","","","","","","","","","","",""
"Amul Fresh Cream","Amul Fresh Cream is a fresh dairy & bakery essential for daily use, in the Cream range. Pack size: 200ml.","Amul","Dairy, Bread & Eggs","","","0","","","inclusive","ml","200","","","","","","out-of-stock","Active","10","1","10","200","ml","","","","","","","","","","","","","",""
"Britannia White Bread","Britannia White Bread is a fresh dairy & bakery essential for daily use, in the Bread range. Pack size: 400g.","Britannia","Dairy, Bread & Eggs","","","0","","","inclusive","g","400","","","","","","out-of-stock","Active","10","1","10","400","g","","","","","","","","","","","","","",""
"Britannia 100% Whole Wheat Bread","Britannia 100% Whole Wheat Bread is a fresh dairy & bakery essential for daily use, in the Bread range. Pack size: 400g.","Britannia","Dairy, Bread & Eggs","","","0","","","inclusive","g","400","","","","","","out-of-stock","Active","10","1","10","400","g","","","","","","","","","","","","","",""
"Britannia Brown Bread","Britannia Brown Bread is a fresh dairy & bakery essential for daily use, in the Bread range. Pack size: 400g.","Britannia","Dairy, Bread & Eggs","","","0","","","inclusive","g","400","","","","","","out-of-stock","Active","10","1","10","400","g","","","","","","","","","","","","","",""
"Modern White Bread","Modern White Bread is a fresh dairy & bakery essential for daily use, in the Bread range. Pack size: 400g.","Modern","Dairy, Bread & Eggs","","","0","","","inclusive","g","400","","","","","","out-of-stock","Active","10","1","10","400","g","","","","","","","","","","","","","",""
"Modern Pav Buns","Modern Pav Buns is a fresh dairy & bakery essential for daily use, in the Bread range. Pack size: 6piece.","Modern","Dairy, Bread & Eggs","","","0","","","inclusive","piece","6","","","","","","out-of-stock","Active","10","1","10","6","piece","","","","","","","","","","","","","",""
"Farm Fresh White Eggs","Farm Fresh White Eggs is a fresh dairy & bakery essential for daily use, in the Eggs range. Pack size: 6piece.","Farm Fresh","Dairy, Bread & Eggs","","","0","","","inclusive","piece","6","","","","","","out-of-stock","Active","10","1","10","6","piece","","","","","","","","","","","","","",""
"Farm Fresh Brown Eggs","Farm Fresh Brown Eggs is a fresh dairy & bakery essential for daily use, in the Eggs range. Pack size: 6piece.","Farm Fresh","Dairy, Bread & Eggs","","","0","","","inclusive","piece","6","","","","","","out-of-stock","Active","10","1","10","6","piece","","","","","","","","","","","","","",""
"Farm Fresh White Eggs Tray","Farm Fresh White Eggs Tray is a fresh dairy & bakery essential for daily use, in the Eggs range. Pack size: 12piece.","Farm Fresh","Dairy, Bread & Eggs","","","0","","","inclusive","piece","12","","","","","","out-of-stock","Active","10","1","10","12","piece","","","","","","","","","","","","","",""
